Review Date,Show,Headline,Article Link,Star Rating
2024/aug/17,Sing Sing,Colman Domingo is larger than life in big-hearted prison drama,https://www.theguardian.com/film/article/2024/aug/17/sing-sing-review-prison-drama-starring-former-inmates,3/5
2024/aug/29,Death of England: Closing Time,bombshell rants fail to land as the men watch the footie,https://www.theguardian.com/stage/article/2024/aug/29/death-of-england-closing-time-review,3/5
2024/aug/29,State Ballet of Georgia: Swan Lake,flashes of terror amid endless stops for applause,https://www.theguardian.com/stage/article/2024/aug/29/state-ballet-of-georgia-swan-lake-review-london-coliseum,3/5
2024/aug/29,The History Boys,lively revival remains relaxed about sexual harassment,https://www.theguardian.com/stage/article/2024/aug/29/the-history-boys-review-theatre-royal-bath,3/5
2024/aug/28,And Mrs,love never dies for Aisling Bea in barmy Brit romcom,https://www.theguardian.com/film/article/2024/aug/28/and-mrs-review-love-never-dies-for-aisling-bea-in-barmy-brit-romcom,3/5
2024/aug/26,Larry Dean: Dodger,crowd-pleasing gags with a tender twist in the tale,https://www.theguardian.com/stage/article/2024/aug/26/larry-dean-dodger-review-monkey-barrel-comedy-edinburgh,3/5
2024/aug/26,Frankenstein,"a ruthless, stylish addition to the canon",https://www.theguardian.com/stage/article/2024/aug/26/frankenstein-review-melbourne-sydney-a-ruthless-stylish-addition-to-the-canon,4/5
2024/aug/25,Colin Hoult: Colin,portrait of the artist as a young grande dame,https://www.theguardian.com/stage/article/2024/aug/25/colin-hoult-colin-review-pleasance-courtyard-edinburgh,4/5
2024/aug/25,Bedroom Farce,deliciously funny production of Ayckbourn’s 1975 classic,https://www.theguardian.com/stage/article/2024/aug/25/bedroom-farce-review-deliciously-funny-production-of-ayckbourns-1975-classic,4/5
2024/aug/25,Graham Dickson: No One Deserves This More Than You,dependably funny desperation,https://www.theguardian.com/stage/article/2024/aug/25/graham-dickson-no-one-deserves-this-more-than-you-review-pleasance-dome-edinburgh,4/5
2024/aug/23,After the Silence,compelling tale of racial inequalities and slavery in Brazil,https://www.theguardian.com/stage/article/2024/aug/23/after-the-silence-review-compelling-tale-of-racial-inequalities-and-slavery-in-brazil,4/5
2024/aug/23,"Chloe Petts: How You See Me, How You Don’t",a former head girl’s life lessons,https://www.theguardian.com/stage/article/2024/aug/23/chloe-petts-how-you-see-me-how-you-dont-review-pleasance-courtyard-edinburgh,3/5
2024/aug/23,Josh Glanc: Family Man,fun and games with an avuncular oddball,https://www.theguardian.com/stage/article/2024/aug/23/josh-glanc-family-man-review-monkey-barrel-edinburgh,3/5
2024/aug/23,Reuben Kaye: Live and Intimidating,the voice of an angel and a devil,https://www.theguardian.com/stage/article/2024/aug/23/reuben-kaye-live-and-intimidating-review-assembly-george-square-edinburgh,3/5
2024/aug/23,Jobsworth,caffeinated black comedy with a stupendous performance,https://www.theguardian.com/stage/article/2024/aug/23/jobsworth-review-libby-rodliffe-isley-lynn-nicky-allpress,4/5
2024/aug/23,Amy Gledhill: Make Me Look Fit on the Poster,bawdy comedy delivered with a blush,https://www.theguardian.com/stage/article/2024/aug/23/amy-gledhill-make-me-look-fit-on-the-poster-review-monkey-barrel-comedy-edinburgh,3/5
2024/aug/23,The Brenda Line,humanity on the helpline for heavy breathers,https://www.theguardian.com/stage/article/2024/aug/23/the-brenda-line-review-harry-mould-pitlochry-festival-theatre,3/5
2024/aug/22,Rob Copland: Gimme (One With Everything),mesmeric controlled chaos,https://www.theguardian.com/stage/article/2024/aug/22/rob-copland-gimme-one-with-everything-review-banshee-labyrinth-edinburgh,4/5
2024/aug/22,The Fifth Step,Jack Lowden excels as an alcoholic finding a sponsor,https://www.theguardian.com/stage/article/2024/aug/22/the-fifth-step-review-jack-lowden-david-ireland-lyceum-edinburgh,4/5
